Name,Type,RAJ2000,u_RAs,DEJ2000,u_DEs,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,l_E_B-V_,E_B-V_,l_E_B-V_2,E_B-V_2,u_E_B-V_,r_Vmag,l_Fx,Fx,Fxu,Range,r_Fx,Porb,Porb2,u_Porb,Ppulse,u_Ppulse,r_Ppulse,Cat,SpType,Name2,u_Name2,Name3,BibCodes
J0032.9-7348,,00 32 56.100,,-73 48 19.00,,304.70001220703125,-43.2,x,12.899999618530273,*1,657,15.300000190734863,,,,,,,,,,,,354,,0.2,,,354,,,,,,,R,Be,,,,"1996A&A...312..919K-Kahabka & Pietsch,"
J0049-732,P,00 49 29.600,,-73 10 56.00,,303.1000061035156,-43.9,x,5.5,,,,,,,,,,,,,,,,,0.04,,,327,,,,9.1321,,327,As,,,,,"1998IAUC.7040R...1I-Imanishi et al.,"
J0049-729,TP,00 49 02.500,,-72 50 52.00,,303.20001220703125,-44.3,x,13.699999809265137,Be star,657,,,,,,,,,,,,,,,0.5,9.0,,354,,,,74.676,,"132,790","AS, R, X",Be,J0049.1-7250,,,"1996A&A...312..919K-Kahabka & Pietsch,1998IAUC.6803Q...1C-Corbet et al.,1999PASJ...51..547Y-Yokogawa et al.,"
0050-727,T,00 52 06.100,,-72 26 06.00,,302.8999938964844,-44.7,o,3.0,*4,95,14.0,,:,-0.30000001192092896,,,-1.0,,0.029999999329447746,,,,"7, 146",<,1.0,5.0,,95,,,,,,,"A,H,S,X",O9 III-Ve,SMC X-3,,,"1977IAUC.3143....1A-Allen,1978ApJ...221L..37C-Clark et al.,"
J0050.7-7316,P,00 50 44.700,,-73 16 05.00,,303.0,-43.8,o,1.0,Be star,141,15.4399995803833,,,-0.029999999329447746,,,-0.949999988079071,,,,,,"104,141",,0.16,,(0.7-10 keV),788,1.416,,,323.0,,"104,788","R,AS",Be,J0051-733,,,"2000MNRAS.311..169C-Coe & Orosz,1998IAUC.6853Q...1F-Yokogawa & Koyama,1997PASP..109...21C-Cowley et al.,"
J0051-722,TP,00 50 55.800,,-72 13 55.00,,303.0,-44.9,x,10.0,Be star,657,14.899999618530273,,,,,,,,,,,,657,,2.6,,,424,120.0,,,91.1,,"334,461","X,R,B",Be,,,,"1999MNRAS.309..421S-Stevens et al.,2000ApJ...531L.131I-Israel et al.,1998IAUC.6858Q...1W-Lochner,1997IAUC.6777Q...1Q-Marshall et al.,"
J0051.8-7231,TP,00 51 53.000,,-72 31 45.00,,302.8999938964844,-44.6,x,11.0,*2,657,,,,,,,,,,,,,,,0.01,9.0,,354,,,,8.9,,330,"E, X,R ,B",Be,2E0050.1-7247,,,"1996A&A...312..919K-Kahabka & Pietsch,1997ApJ...484L.141I-Israel et al.,"
J0051.9-7311,T,00 51 51.400,,-73 10 38.00,,302.8999938964844,-43.9,x,,B[e  star,141,14.399999618530273,,,,,,,,,,,,141,,,,,,,,,,,,R,B[e,SMC 25,,,"1997PASP..109...21C-Cowley et al.,"
J0052.1-7319,TP,00 52 13.900,,-73 19 13.00,,302.79998779296875,-43.8,x,1.899999976158142,SMC SC6 99923,702,14.666999816894531,,,-0.004999999888241291,,,,,,,,,"702,332",,0.024,4.7,,399,,,,15.3,,399,"E,X,R",Be,,,,"1999IAUC.7105R...1U-Udalski,1999IAUC.7101Q...1I-Israel et al.,1999IAUC.7081Q...1O-Lamb et al.,"
J0052.9-7158,TU,00 52 54.000,,-71 58 08.00,,302.79998779296875,-45.1,x,,Be star,141,15.460000038146973,,,-0.07000000029802322,,,-0.9900000095367432,,,,,,141,,2.0,,(0.15-2.4 keV),141,,,,,,,R,Be,SMC 32,,,"1997PASP..109...21C-Cowley et al.,"
