Name,Type,RAJ2000,u_RAs,DEJ2000,u_DEs,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,l_E_B-V_,E_B-V_,l_E_B-V_2,E_B-V_2,u_E_B-V_,r_Vmag,l_Fx,Fx,Fxu,Range,r_Fx,Porb,Porb2,u_Porb,Ppulse,u_Ppulse,r_Ppulse,Cat,SpType,Name2,u_Name2,Name3,BibCodes
0042+323,T,00 44 50.400,,+33 01 17.00,,121.30000305175781,-29.8,x,60.0,*3,168,19.299999237060547,,,0.6000000238418579,,,,,0.20000000298023224,,,,168,<,0.5,55.0,,103,,,,,,,"U,M,A,AS,R,B,X",,XN Per 1992,,,"1978MNRAS.183p..29C-Charles, P.A. et al.,1983ARA&A..21...13B-Bradt, H.V. & McClintock, JE.,"
J0422+32,T,04 18 29.900,,+32 47 24.00,,197.3000030517578,-11.9,"o,r",,,,13.199999809265137,,,0.30000001192092896,,,-0.5,,0.23000000417232513,,0.4000000059604645,,"1151,1158,1159",,3000.0,,(20-300keV),"433,991",5.1,,,,,"125,150,664,980","C,Gr,R,K,AS,X",,,,,"1995ApJ...441..786C-Callanan, P.J. et al.,1994ApJ...434..698S-Shrader, C.R. et al.,1992IAUC.5580....1A-Paciesas, W.S. et al.,1992IAUC.5591....1L-Shrader, C.R. et al.,1995ApJ...446L..59O-Orosz, J.A. & Bailyn, C.D.,1992IAUC.5590....1C-Shakhovskaya, N.,1995MNRAS.274..565C-Casares, J. et al.,1992IAUC.5589....1W-Goldwurm, A. et al.,1995PASJ...47...31K-Kato, T. et al.,"
0512-401,GB,05 14 06.600,,-40 02 37.00,,244.5,-35.0,x,2.0,NGC1851,475,,,,,,,,,0.10000000149011612,,,:,2,,3.0,6.0,,"124,999,1366",,,,,,,"U,M,A,H,G,Exo",,,,,"1989A&A...222...96P-Parmar, A.N. et al.,1990AJ.....99..817A-Alcaino, G. et al.,1984MNRAS.210..899V-Verbunt, F. et al.,1995MNRAS.273..201C-Callanan, P.J. et al.,"
0521-720,Z?,05 20 29.200,,-71 57 36.00,,283.1000061035156,-32.7,o,3.0,*22,637,18.0,19.0,,0.0,,,-0.800000011920929,,0.10000000149011612,,,,"121,260,778",,9.0,44.0,,103,8.16,,,,,"121,1173","U,M,A,H,X,R",,LMC X-2,,,"1983ARA&A..21...13B-Bradt, H.V. & McClintock, JE.,2000ApJ...528..702S-Smale, A.P. & Kuulkers, E.,1974ApJS...28...73L-Lucke, P.,1990ApJ...355..496C-Crampton, D. et al.,1990A&A...240..346C-Callanan, P.J. et al.,"
J0532.7-6926,,05 32 42.800,,-69 26 18.00,,279.8999938964844,-32.1,x,3.9000000953674316,,,,,,,,,,,,,,,,,0.5,,,484,,,,,,,R,,,,,"1999A&A...344..521H-Haberl, F. & Pietsch, W.,"
0614+091,AB,06 17 07.300,,+09 08 13.00,,200.89999389648438,-3.4,o,,V1055 Ori,"323,447",18.5,,,0.30000001192092896,,,-0.5,,0.30000001192092896,,,,287,,50.0,,,"1399,1448",,,,,,,"U,M,A,H,S,Gr,E,Exo,X,B",,,,,"1981MNRAS.197..865W-Warwick, R.S. et al.,1984ApJS...56..507W-Wood, K.S. et al.,1974ApJ...193L..25D-Davidsen, A. et al.,"
0620-003,TU,06 22 44.500,,-00 20 45.00,,210.0,-6.5,o,,V616 Mon,"331,447",11.199999809265137,,,0.20000000298023224,,,-0.800000011920929,,0.4000000059604645,,,,1407,<,0.02,50000.0,,"774,1407",7.75,,,,,857,"A,S,R",,N Mon 1975,,,"1977MNRAS.180..657W-Whelan, J.A.J. et al.,1986ApJ...308..110M-McClintock, J.E. & Remillar, R.A.,1981ApJ...248..925L-Long, K.S. et al.,"
0656-072,T,06 58 27.000,,-07 15 50.00,,220.1999969482422,-1.7,x,180.0,,,,,,,,,,,,,,,,,20.0,80.0,,"143,215,656",,,,,,,A,,,,,"1976IAUC.2935T...1K-Kaluzienski, L.J. et al.,1975IAUC.2843Q...1C-Clark, G.W.,1975IAUC.2852R...1C-Carpenter, G.F. et al.,"
0748-676,TBD,07 48 33.800,,-67 45 09.00,,280.0,-19.3,o,,UY Vol,1262,16.899999618530273,17.5,,0.10000000149011612,,,-0.8999999761581421,,0.41999998688697815,,,,"1125,1128",,0.1,60.0,,443,3.82,,,,,"998,1001","Exo,AS,R,G,X",,,,,"1986ApJ...308..199P-Parmar, A.N. et al.,1991ApJ...366..253P-Parmar, A.N. et al.,1987AJ.....93..374S-Schmidtke, P. & Cowley, A.P,1986ApJ...308..213G-Gottwald, M. et al.,1990A&A...227..105S-Schoembs, R. & Zoeschinger,G.,"
J0835.9+5118,TB,08 35 56.000,,+51 18 36.00,,167.5,36.9,x,180.0,,,,,,,,,,,,,,,,<,6.0,,,399,,,,,,,B,,,,,"1999IAUC.7174Q...1G-Gandolfi, G. et al.,"
